fish,block,lake,date,DOY,year,trap,dip_tot,hemip_tot,cole_tot,trichop,ephem,total,data_flag,date_off,days_to_solstice,max_hourly_temp,peaktemp,dailytemp,DSI,logtot,dailytemp_sq
0,3,H3A,2019-08-01,213,2019,W,5,0,0,0,0,5,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.861191489361703,16,1.791759469228055,251.57739546220012
1,3,H3P,2019-08-01,213,2019,E-littoral,1,0,0,0,0,1,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,13.843468085106382,12,0.6931471805599453,191.64160862335896
1,3,H3P,2019-08-01,213,2019,N-littoral,7,0,0,0,0,7,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,13.843468085106382,12,2.0794415416798357,191.64160862335896
1,3,H3P,2019-08-01,213,2019,S-littoral,15,0,0,0,0,15,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,13.843468085106382,12,2.772588722239781,191.64160862335896
1,3,H3P,2019-08-01,213,2019,W-littoral,2,0,0,0,0,2,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,13.843468085106382,12,1.0986122886681098,191.64160862335896
0,2,H2A,2019-08-03,215,2019,E-littoral,4,0,0,0,0,4,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,1.6094379124341003,112.63311576562502
0,2,H2A,2019-08-03,215,2019,E-shore,7,3,0,0,0,10,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,2.3978952727983707,112.63311576562502
0,2,H2A,2019-08-03,215,2019,N-littoral,6,0,0,0,0,6,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,1.9459101490553132,112.63311576562502
0,2,H2A,2019-08-03,215,2019,N-shore,3,0,0,0,0,3,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,1.3862943611198906,112.63311576562502
0,2,H2A,2019-08-03,215,2019,S-littoral,14,0,0,0,0,14,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,2.70805020110221,112.63311576562502
0,2,H2A,2019-08-03,215,2019,S-shore,14,2,0,0,0,16,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,2.833213344056216,112.63311576562502
0,2,H2A,2019-08-03,215,2019,W-littoral,30,1,0,0,0,31,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,3.4657359027997265,112.63311576562502
0,2,H2A,2019-08-03,215,2019,W-shore,3,1,0,0,0,4,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,10.612875,9,1.6094379124341003,112.63311576562502
1,2,H2P,2019-08-03,215,2019,E-littoral,21,1,0,0,0,22,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,3.1354942159291497,155.31546406640626
1,2,H2P,2019-08-03,215,2019,E-shore,12,1,0,0,0,13,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,2.6390573296152584,155.31546406640626
1,2,H2P,2019-08-03,215,2019,N-littoral,22,0,0,0,0,22,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,3.1354942159291497,155.31546406640626
1,2,H2P,2019-08-03,215,2019,N-shore,20,0,0,0,0,20,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,3.044522437723423,155.31546406640626
1,2,H2P,2019-08-03,215,2019,S-littoral,32,0,0,0,0,32,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,3.4965075614664802,155.31546406640626
1,2,H2P,2019-08-03,215,2019,S-shore,12,0,0,0,0,12,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,2.5649493574615367,155.31546406640626
1,2,H2P,2019-08-03,215,2019,W,15,0,0,0,0,15,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,2.772588722239781,155.31546406640626
1,2,H2P,2019-08-03,215,2019,W-shore,10,0,0,0,0,10,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,12.4625625,18,2.3978952727983707,155.31546406640626
0,1,H1A,2019-08-04,216,2019,E-littoral,15,0,0,0,0,15,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,2.772588722239781,84.5431460907955
0,1,H1A,2019-08-04,216,2019,E-shore,8,2,0,0,0,10,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,2.3978952727983707,84.5431460907955
0,1,H1A,2019-08-04,216,2019,N-littoral,25,0,0,0,0,25,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,3.258096538021482,84.5431460907955
0,1,H1A,2019-08-04,216,2019,N-shore,3,0,0,0,0,3,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,1.3862943611198906,84.5431460907955
0,1,H1A,2019-08-04,216,2019,S-littoral,6,0,0,0,0,6,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,1.9459101490553132,84.5431460907955
0,1,H1A,2019-08-04,216,2019,S-shore,16,0,0,0,0,16,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,2.833213344056216,84.5431460907955
0,1,H1A,2019-08-04,216,2019,W-littoral,12,0,0,0,0,12,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,2.5649493574615367,84.5431460907955
0,1,H1A,2019-08-04,216,2019,W-shore,0,0,0,0,0,0,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,9.194734693877551,10,0,84.5431460907955
1,1,H1P,2019-08-04,216,2019,E-littoral,4,0,0,0,0,4,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,9.194734693877551,7,1.6094379124341003,84.5431460907955
1,1,H1P,2019-08-04,216,2019,N-littoral,2,0,0,0,0,2,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,9.194734693877551,7,1.0986122886681098,84.5431460907955
1,1,H1P,2019-08-04,216,2019,W-littoral,4,0,0,0,0,4,y,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,9.194734693877551,7,1.6094379124341003,84.5431460907955
0,2,H2A,2019-08-09,221,2019,E-littoral,47,0,0,0,0,47,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,3.871201010907891,141.7552658063307
0,2,H2A,2019-08-09,221,2019,E-shore,26,1,0,0,1,28,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,3.367295829986474,141.7552658063307
0,2,H2A,2019-08-09,221,2019,N-littoral,10,0,0,0,0,10,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,2.3978952727983707,141.7552658063307
0,2,H2A,2019-08-09,221,2019,N-shore,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,0.6931471805599453,141.7552658063307
0,2,H2A,2019-08-09,221,2019,S-littoral,19,0,0,0,0,19,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,2.995732273553991,141.7552658063307
0,2,H2A,2019-08-09,221,2019,S-shore,31,0,0,0,1,32,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,3.4965075614664802,141.7552658063307
0,2,H2A,2019-08-09,221,2019,W-littoral,2,0,0,0,0,2,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,11.906102040816327,15,1.0986122886681098,141.7552658063307
1,2,H2P,2019-08-09,221,2019,E-shore,3,0,0,0,0,3,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,1.3862943611198906,178.83167067430236
1,2,H2P,2019-08-09,221,2019,N-littoral,3,0,0,0,0,3,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,1.3862943611198906,178.83167067430236
1,2,H2P,2019-08-09,221,2019,N-shore,2,0,0,0,0,2,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,1.0986122886681098,178.83167067430236
1,2,H2P,2019-08-09,221,2019,S-littoral,4,0,0,0,0,4,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,1.6094379124341003,178.83167067430236
1,2,H2P,2019-08-09,221,2019,S-shore,3,0,0,0,0,3,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,1.3862943611198906,178.83167067430236
1,2,H2P,2019-08-09,221,2019,W-littoral,13,0,0,0,0,13,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,13.372795918367347,24,2.6390573296152584,178.83167067430236
0,3,H3A,2019-08-10,222,2019,E-littoral,3,0,0,0,0,3,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,1.3862943611198906,253.74019284631405
0,3,H3A,2019-08-10,222,2019,E-shore,15,0,0,0,0,15,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,2.772588722239781,253.74019284631405
0,3,H3A,2019-08-10,222,2019,N-littoral,5,0,0,0,0,5,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,1.791759469228055,253.74019284631405
0,3,H3A,2019-08-10,222,2019,N-shore,9,0,0,0,0,9,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,2.302585092994046,253.74019284631405
0,3,H3A,2019-08-10,222,2019,S-littoral,3,0,0,0,0,3,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,1.3862943611198906,253.74019284631405
0,3,H3A,2019-08-10,222,2019,S-shore,0,0,0,0,0,0,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,0,253.74019284631405
0,3,H3A,2019-08-10,222,2019,W-littoral,3,0,0,0,0,3,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,1.3862943611198906,253.74019284631405
0,3,H3A,2019-08-10,222,2019,W-shore,0,0,0,1,0,1,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,15.929224489795919,25,0.6931471805599453,253.74019284631405
1,3,H3P,2019-08-10,222,2019,E-shore,1,0,0,0,0,1,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,15.07569387755102,21,0.6931471805599453,227.2765458896293
1,3,H3P,2019-08-10,222,2019,N-shore,0,0,0,2,0,2,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,15.07569387755102,21,1.0986122886681098,227.2765458896293
1,3,H3P,2019-08-10,222,2019,S-littoral,1,0,0,0,0,1,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,15.07569387755102,21,0.6931471805599453,227.2765458896293
1,3,H3P,2019-08-10,222,2019,S-shore,1,0,0,0,0,1,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,15.07569387755102,21,0.6931471805599453,227.2765458896293
1,3,H3P,2019-08-10,222,2019,W-littoral,1,0,0,0,0,1,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,15.07569387755102,21,0.6931471805599453,227.2765458896293
0,1,H1A,2019-08-16,228,2019,E-littoral,190,3,0,0,0,193,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,5.267858159063328,171.26084444444442
0,1,H1A,2019-08-16,228,2019,E-shore,19,1,0,0,1,21,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,3.091042453358316,171.26084444444442
0,1,H1A,2019-08-16,228,2019,N-littoral,1,0,0,0,0,1,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,0.6931471805599453,171.26084444444442
0,1,H1A,2019-08-16,228,2019,N-shore,2,1,0,0,0,3,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,1.3862943611198906,171.26084444444442
0,1,H1A,2019-08-16,228,2019,S-littoral,31,1,0,0,0,32,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,3.4965075614664802,171.26084444444442
0,1,H1A,2019-08-16,228,2019,S-shore,3,0,0,1,0,4,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,1.6094379124341003,171.26084444444442
0,1,H1A,2019-08-16,228,2019,W-littoral,28,6,0,0,0,34,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,3.5553480614894135,171.26084444444442
0,1,H1A,2019-08-16,228,2019,W-shore,20,5,0,5,1,31,y,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,13.086666666666666,22,3.4657359027997265,171.26084444444442
1,1,H1P,2019-08-16,228,2019,E-littoral,10,0,0,0,0,10,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.3978952727983707,171.26084444444442
1,1,H1P,2019-08-16,228,2019,E-shore,8,0,0,0,0,8,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.1972245773362196,171.26084444444442
1,1,H1P,2019-08-16,228,2019,N-littoral,21,0,0,0,0,21,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,3.091042453358316,171.26084444444442
1,1,H1P,2019-08-16,228,2019,N-shore,3,8,0,0,0,11,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.4849066497880004,171.26084444444442
1,1,H1P,2019-08-16,228,2019,S-littoral,9,2,0,0,0,11,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.4849066497880004,171.26084444444442
1,1,H1P,2019-08-16,228,2019,S-shore,6,0,1,0,0,7,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.0794415416798357,171.26084444444442
1,1,H1P,2019-08-16,228,2019,W-littoral,52,2,0,0,0,54,y,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,4.007333185232471,171.26084444444442
1,1,H1P,2019-08-16,228,2019,W-shore,1,10,0,0,0,11,n,2019-07-28T00:00:00Z,-37,14.996,14.12001923076923,13.086666666666666,19,2.4849066497880004,171.26084444444442
0,3,H3A,2019-08-17,229,2019,E-littoral,5,1,0,0,0,6,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,1.9459101490553132,281.88829786851204
0,3,H3A,2019-08-17,229,2019,E-shore,0,2,0,0,0,2,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,1.0986122886681098,281.88829786851204
0,3,H3A,2019-08-17,229,2019,N-littoral,38,0,0,0,0,38,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,3.6635616461296463,281.88829786851204
0,3,H3A,2019-08-17,229,2019,N-shore,8,1,0,0,0,9,y,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,2.302585092994046,281.88829786851204
0,3,H3A,2019-08-17,229,2019,S-littoral,2,0,0,0,0,2,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,1.0986122886681098,281.88829786851204
0,3,H3A,2019-08-17,229,2019,S-shore,7,0,0,0,0,7,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,2.0794415416798357,281.88829786851204
0,3,H3A,2019-08-17,229,2019,W-littoral,5,0,0,0,0,5,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,1.791759469228055,281.88829786851204
0,3,H3A,2019-08-17,229,2019,W-shore,5,0,0,0,0,5,n,2019-07-16T00:00:00Z,-25,18.3785,17.717826923076924,16.789529411764704,32,1.791759469228055,281.88829786851204
1,3,H3P,2019-08-17,229,2019,E-littoral,9,0,0,0,0,9,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,2.302585092994046,259.76148124913493
1,3,H3P,2019-08-17,229,2019,E-shore,9,3,0,0,0,12,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,2.5649493574615367,259.76148124913493
1,3,H3P,2019-08-17,229,2019,N-littoral,49,0,0,0,0,49,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,3.912023005428146,259.76148124913493
1,3,H3P,2019-08-17,229,2019,N-shore,3,1,1,0,0,5,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,1.791759469228055,259.76148124913493
1,3,H3P,2019-08-17,229,2019,S-littoral,37,1,0,0,0,38,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,3.6635616461296463,259.76148124913493
1,3,H3P,2019-08-17,229,2019,S-shore,1,0,0,0,0,1,n,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,0.6931471805599453,259.76148124913493
1,3,H3P,2019-08-17,229,2019,W-littoral,12,0,0,0,0,12,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,2.5649493574615367,259.76148124913493
1,3,H3P,2019-08-17,229,2019,W-shore,29,0,0,0,0,29,y,2019-07-20T00:00:00Z,-29,18.045,17.264115384615383,16.117117647058823,28,3.4011973816621555,259.76148124913493
0,2,H2A,2019-08-19,231,2019,E-littoral,16,0,0,2,0,18,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,2.9444389791664403,206.0243694582853
0,2,H2A,2019-08-19,231,2019,E-shore,90,14,0,0,0,104,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,4.653960350157523,206.0243694582853
0,2,H2A,2019-08-19,231,2019,N-littoral,11,1,0,0,0,12,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,2.5649493574615367,206.0243694582853
0,2,H2A,2019-08-19,231,2019,N-shore,21,7,0,2,1,31,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,3.4657359027997265,206.0243694582853
0,2,H2A,2019-08-19,231,2019,S-littoral,41,3,0,0,0,44,n,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,3.8066624897703196,206.0243694582853
0,2,H2A,2019-08-19,231,2019,S-shore,74,2,0,1,1,78,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,4.3694478524670215,206.0243694582853
0,2,H2A,2019-08-19,231,2019,W-littoral,34,0,0,0,0,34,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,3.5553480614894135,206.0243694582853
0,2,H2A,2019-08-19,231,2019,W-shore,16,0,0,0,0,16,y,2019-07-25T00:00:00Z,-34,17.094,15.69176923076923,14.353549019607843,25,2.833213344056216,206.0243694582853
1,2,H2P,2019-08-19,231,2019,E-littoral,121,0,0,0,0,121,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,4.804021044733257,238.43053633256443
1,2,H2P,2019-08-19,231,2019,E-shore,8,0,0,0,0,8,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,2.1972245773362196,238.43053633256443
1,2,H2P,2019-08-19,231,2019,N,28,0,0,0,0,28,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,3.367295829986474,238.43053633256443
1,2,H2P,2019-08-19,231,2019,N-shore,9,0,0,0,0,9,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,2.302585092994046,238.43053633256443
1,2,H2P,2019-08-19,231,2019,S littoral,19,1,0,0,0,20,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,3.044522437723423,238.43053633256443
1,2,H2P,2019-08-19,231,2019,S-shore,12,0,0,1,0,13,y,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,2.6390573296152584,238.43053633256443
1,2,H2P,2019-08-19,231,2019,W,17,0,0,0,0,17,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,2.8903717578961645,238.43053633256443
1,2,H2P,2019-08-19,231,2019,W-shore,5,0,0,0,0,5,n,2019-07-16T00:00:00Z,-25,17.997500000000002,16.832,15.441196078431373,34,1.791759469228055,238.43053633256443
0,1,H1A,2019-08-21,233,2019,E-littoral,103,0,0,0,0,103,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,12.935711538461538,27,4.6443908991413725,167.33263300628698
0,1,H1A,2019-08-21,233,2019,E-shore,296,2,0,0,0,298,y,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,12.935711538461538,27,5.700443573390687,167.33263300628698
0,1,H1A,2019-08-21,233,2019,N-littoral,149,1,0,0,0,150,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,12.935711538461538,27,5.017279836814924,167.33263300628698
0,1,H1A,2019-08-21,233,2019,N-shore,38,10,0,0,0,48,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,12.935711538461538,27,3.8918202981106265,167.33263300628698
0,1,H1A,2019-08-21,233,2019,S-littoral,14,0,0,1,0,15,n,2019-07-25T00:00:00Z,-34,14.996,14.12001923076923,12.935711538461538,27,2.772588722239781,167.33263300628698
