fish,block,lake,sample_date,trap,dip_chir_lg,dip_chir_med,dip_chir_sm,dip_tiny,dip_cranefly,dip_other,dip_sim_tot,dip_culic,cole_tot,hemip_tot,trichop,ephem,data_flag
0,3,H3A,10-Aug-19,S-shore,0,0,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,W-littoral,0,0,3,0,0,0,0,0,0,0,0,0,n
0,3,H3A,10-Aug-19,W-shore,0,0,0,0,0,0,0,0,0,0,1,0,n
1,3,H3P,10-Aug-19,E-shore,0,0,0,0,0,0,1,0,0,0,0,0,n
1,3,H3P,10-Aug-19,N-shore,0,0,0,0,0,0,0,0,0,0,2,0,n
1,3,H3P,10-Aug-19,S-littoral,0,0,0,0,0,1,0,0,0,0,0,0,n
1,3,H3P,10-Aug-19,S-shore,0,0,1,0,0,0,0,0,0,0,0,0,y
1,3,H3P,10-Aug-19,W-littoral,0,0,0,0,0,1,0,0,0,0,0,0,y
0,1,H1A,16-Aug-19,E-littoral,0,0,5,185,0,0,0,0,0,3,0,0,n
0,1,H1A,16-Aug-19,E-shore,0,1,14,2,0,2,0,0,0,1,0,1,n
0,1,H1A,16-Aug-19,N-littoral,0,0,0,0,0,0,1,0,0,0,0,0,n
0,1,H1A,16-Aug-19,N-shore,0,0,2,0,0,0,0,0,0,1,0,0,n
0,1,H1A,16-Aug-19,S-littoral,2,0,4,25,0,0,0,0,0,1,0,0,n
0,1,H1A,16-Aug-19,S-shore,0,1,0,0,0,0,0,2,0,0,1,0,n
0,1,H1A,16-Aug-19,W-littoral,16,2,0,8,0,0,2,0,0,6,0,0,n
0,1,H1A,16-Aug-19,W-shore,0,0,11,8,0,0,1,0,0,5,5,1,y
1,1,H1P,16-Aug-19,E-littoral,0,1,0,9,0,0,0,0,0,0,0,0,n
1,1,H1P,16-Aug-19,E-shore,0,0,6,0,0,0,2,0,0,0,0,0,n
1,1,H1P,16-Aug-19,N-littoral,0,21,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,16-Aug-19,N-shore,0,3,0,0,0,0,0,0,0,8,0,0,n
1,1,H1P,16-Aug-19,S-littoral,0,7,0,0,0,2,0,0,0,2,0,0,n
1,1,H1P,16-Aug-19,S-shore,0,5,0,1,0,0,0,0,1,0,0,0,n
1,1,H1P,16-Aug-19,W-littoral,0,24,19,9,0,0,0,0,0,2,0,0,y
1,1,H1P,16-Aug-19,W-shore,0,0,0,1,0,0,0,0,0,10,0,0,n
0,3,H3A,17-Aug-19,E-littoral,0,0,5,0,0,0,0,0,0,1,0,0,n
0,3,H3A,17-Aug-19,E-shore,0,0,0,0,0,0,0,0,0,2,0,0,n
0,3,H3A,17-Aug-19,N-littoral,0,0,38,0,0,0,0,0,0,0,0,0,n
0,3,H3A,17-Aug-19,N-shore,0,0,3,0,5,0,0,0,0,1,0,0,y
0,3,H3A,17-Aug-19,S-littoral,0,1,0,0,0,0,0,1,0,0,0,0,n
0,3,H3A,17-Aug-19,S-shore,0,2,0,4,0,0,0,1,0,0,0,0,n
0,3,H3A,17-Aug-19,W-littoral,0,5,0,0,0,0,0,0,0,0,0,0,n
0,3,H3A,17-Aug-19,W-shore,0,3,2,0,0,0,0,0,0,0,0,0,n
1,3,H3P,17-Aug-19,E-littoral,0,1,8,0,0,0,0,0,0,0,0,0,n
1,3,H3P,17-Aug-19,E-shore,0,0,9,0,0,0,0,0,0,3,0,0,n
1,3,H3P,17-Aug-19,N-littoral,0,48,0,0,0,0,1,0,0,0,0,0,y
1,3,H3P,17-Aug-19,N-shore,0,3,0,0,0,0,0,0,1,1,0,0,y
1,3,H3P,17-Aug-19,S-littoral,0,0,37,0,0,0,0,0,0,1,0,0,n
1,3,H3P,17-Aug-19,S-shore,0,0,0,0,0,0,1,0,0,0,0,0,n
1,3,H3P,17-Aug-19,W-littoral,0,0,11,0,0,0,0,1,0,0,0,0,y
1,3,H3P,17-Aug-19,W-shore,0,2,15,0,0,0,0,12,0,0,0,0,y
0,2,H2A,19-Aug-19,E-littoral,0,16,0,0,0,0,0,0,0,0,2,0,y
0,2,H2A,19-Aug-19,E-shore,0,0,79,9,0,0,2,0,0,14,0,0,n
0,2,H2A,19-Aug-19,N-littoral,1,0,9,0,0,0,0,1,0,1,0,0,y
0,2,H2A,19-Aug-19,N-shore,0,0,21,0,0,0,0,0,0,7,2,1,y
0,2,H2A,19-Aug-19,S-littoral,0,1,40,0,0,0,0,0,0,3,0,0,n
0,2,H2A,19-Aug-19,S-shore,0,54,20,0,0,0,0,0,0,2,1,1,y
0,2,H2A,19-Aug-19,W-littoral,0,0,33,0,0,0,0,1,0,0,0,0,y
0,2,H2A,19-Aug-19,W-shore,2,0,12,2,0,0,0,0,0,0,0,0,y
1,2,H2P,19-Aug-19,E-littoral,0,65,56,0,0,0,0,0,0,0,0,0,y
1,2,H2P,19-Aug-19,E-shore,0,8,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,19-Aug-19,N,0,3,25,0,0,0,0,0,0,0,0,0,y
1,2,H2P,19-Aug-19,N-shore,0,3,4,1,0,0,1,0,0,0,0,0,n
1,2,H2P,19-Aug-19,S littoral,0,0,19,0,0,0,0,0,0,1,0,0,n
1,2,H2P,19-Aug-19,S-shore,0,0,9,0,0,0,0,3,0,0,1,0,y
1,2,H2P,19-Aug-19,W,0,0,16,0,0,0,0,1,0,0,0,0,n
1,2,H2P,19-Aug-19,W-shore,0,4,0,0,0,0,0,1,0,0,0,0,n
0,1,H1A,21-Aug-19,E-littoral,0,0,102,0,0,0,1,0,0,0,0,0,n
0,1,H1A,21-Aug-19,E-shore,0,0,296,0,0,0,0,0,0,2,0,0,y
0,1,H1A,21-Aug-19,N-littoral,0,0,149,0,0,0,0,0,0,1,0,0,n
0,1,H1A,21-Aug-19,N-shore,0,0,38,0,0,0,0,0,0,10,0,0,n
0,1,H1A,21-Aug-19,S-littoral,1,0,12,1,0,0,0,0,0,0,1,0,n
0,1,H1A,21-Aug-19,S-shore,0,0,4,0,0,0,0,0,0,0,1,2,n
0,1,H1A,21-Aug-19,W-littoral,0,0,145,0,0,0,0,0,0,0,0,0,n
0,1,H1A,21-Aug-19,W-shore,0,5,35,0,0,0,0,0,0,1,0,0,y
1,1,H1P,21-Aug-19,E-littoral,0,3,38,36,0,0,0,0,0,0,0,0,n
1,1,H1P,21-Aug-19,E-shore,0,0,29,26,0,0,0,0,0,0,0,0,n
1,1,H1P,21-Aug-19,N-littoral,0,140,101,0,0,0,0,0,0,1,0,0,n
1,1,H1P,21-Aug-19,N-shore,0,8,13,0,0,0,0,0,0,0,0,0,n
1,1,H1P,21-Aug-19,S-littoral,0,5,8,0,0,0,0,0,0,0,0,0,n
1,1,H1P,21-Aug-19,S-shore,0,0,1,4,0,0,0,0,0,0,0,0,n
1,1,H1P,21-Aug-19,W-littoral,0,9,71,6,0,0,1,0,1,1,0,0,n
1,1,H1P,21-Aug-19,W-shore,0,4,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,29-Aug-19,E. 10:05 - SH,0,0,33,5,0,0,0,0,0,0,0,1,n
0,1,H1A,29-Aug-19,E. 10:15,0,0,690,0,0,0,1,0,0,0,0,0,n
0,1,H1A,29-Aug-19,N. SH 10:30,0,81,51,0,0,0,0,0,1,39,0,0,y
0,1,H1A,29-Aug-19,S. SH 9:40,0,0,12,0,0,0,1,0,0,0,0,2,n
0,1,H1A,29-Aug-19,S.9:40,0,0,63,0,0,0,0,0,0,0,0,0,n
0,1,H1A,29-Aug-19,W - littoral,0,0,21,10,0,0,0,0,0,0,1,0,y
0,1,H1A,29-Aug-19,W. SH 10:55,0,0,449,0,0,0,0,0,0,1,0,0,n
1,1,H1P,29-Aug-19,E-littoral,0,2,43,1,0,0,1,0,0,1,0,0,y
1,1,H1P,29-Aug-19,E-shore,0,0,2,0,0,0,0,0,0,1,0,0,n
1,1,H1P,29-Aug-19,N-littoral,0,0,6,0,0,0,0,0,0,0,0,0,n
1,1,H1P,29-Aug-19,N-shore,0,7,8,0,0,0,0,0,0,11,0,0,n
1,1,H1P,29-Aug-19,S-emerg 13:25,0,1,8,0,0,0,0,0,0,0,0,0,n
1,1,H1P,29-Aug-19,S-shoreline 13:23,0,1,7,1,0,0,0,0,0,0,0,0,n
1,1,H1P,29-Aug-19,W-littoral 12:57,0,4,15,1,0,0,0,0,0,0,0,0,n
1,1,H1P,29-Aug-19,W-shore,0,0,21,0,0,0,0,0,0,1,0,0,n
0,1,H1A,30-Aug-19,E. 16:00,0,0,950,0,0,0,0,0,0,0,0,0,n
0,1,H1A,30-Aug-19,E. SH 16:10,0,0,26,0,0,1,0,0,0,0,1,0,n
0,1,H1A,30-Aug-19,N. 16:36,0,27,40,0,0,0,0,0,0,1,0,0,n
0,1,H1A,30-Aug-19,N. SH 16:50,0,0,341,0,0,0,0,0,0,13,0,0,n
0,1,H1A,30-Aug-19,S shoreline,0,0,26,0,0,0,0,0,0,1,0,0,n
0,1,H1A,30-Aug-19,S. 15:10,0,0,158,0,0,0,0,0,0,0,2,0,n
0,1,H1A,30-Aug-19,W shore 17:20,0,2,1493,0,0,0,0,0,0,1,0,0,n
0,1,H1A,30-Aug-19,W. 17:30,0,6,6,0,0,0,0,0,0,0,0,0,n
1,1,H1P,30-Aug-19,E-littoral 18:35,0,0,102,0,0,0,0,0,0,1,0,0,n
1,1,H1P,30-Aug-19,E-shore,0,3,14,3,0,0,1,0,0,16,1,0,y
1,1,H1P,30-Aug-19,N-littoral,0,5,22,0,0,0,0,0,0,0,0,0,n
1,1,H1P,30-Aug-19,N-shore,0,0,38,0,0,0,0,0,2,39,0,0,n
1,1,H1P,30-Aug-19,S-littoral,0,0,33,1,0,0,0,0,0,0,0,0,n
1,1,H1P,30-Aug-19,S-shore,0,2,17,5,0,0,1,0,0,0,3,0,n
1,1,H1P,30-Aug-19,W-littoral 19:13,0,1,44,0,0,0,0,0,0,1,0,0,n
1,1,H1P,30-Aug-19,W-shore 19:19,0,0,76,0,0,0,0,0,0,0,0,0,n
0,2,H2A,1-Sep-19,E-littoral,0,2,148,0,0,0,0,0,0,2,0,0,n
0,2,H2A,1-Sep-19,E-shore,0,0,58,2,0,0,1,0,0,0,0,1,n
0,2,H2A,1-Sep-19,N-emerg.,0,0,141,0,0,0,0,0,0,0,0,0,n
0,2,H2A,1-Sep-19,N-shore,0,0,5,0,0,0,0,0,0,0,0,0,n
0,2,H2A,1-Sep-19,S-emerg.,0,0,350,0,0,0,0,0,0,0,0,0,n
0,2,H2A,1-Sep-19,S-shore,0,0,78,0,0,0,1,0,0,0,1,0,y
0,2,H2A,1-Sep-19,W-emerg.,0,3,388,3,0,0,0,0,0,0,2,0,n
0,2,H2A,1-Sep-19,W-shore,0,0,81,0,0,0,0,0,0,0,0,1,n
1,2,H2P,1-Sep-19,E-emerg,0,0,18,0,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,E-shore,0,0,0,2,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,N-littoral,0,0,50,0,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,N-shore,0,0,2,1,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,S-littoral,0,0,10,6,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,S-shore,0,4,0,6,0,0,0,0,0,0,0,0,n
1,2,H2P,1-Sep-19,W-emerg.,0,37,13,0,0,0,0,0,0,0,0,0,y
1,2,H2P,1-Sep-19,W-shore,0,0,9,2,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,N 4m,0,1,127,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,N1,0,1,4,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,N2,0,2,6,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,N-shore,0,0,19,0,0,0,0,0,0,1,0,0,n
0,1,H1A,5-Sep-19,S 1 m,0,0,3,6,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,S 4m,0,0,17,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,S2,0,1,18,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Sep-19,S-shore,0,3,14,0,0,0,0,0,0,2,0,0,n
1,1,H1P,5-Sep-19,N 1m,0,0,1,3,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Sep-19,N 2m,0,1,5,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Sep-19,N 4m,0,1,5,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Sep-19,N shoreline,0,0,5,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Sep-19,S 0m shoreline,0,3,9,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Sep-19,S 1m,0,1,27,0,0,0,0,0,0,0,0,0,n
1,1,H1P,4-Aug-19,W - SH,0,0,0,0,0,0,0,0,1,3,0,0,y
1,3,H3P,1-Aug-19,N - shore,7,0,0,0,0,0,0,0,0,0,0,0,y
1,3,H3P,1-Aug-19,S - shore,0,0,0,0,0,0,1,0,0,0,0,0,y
1,2,H2P,29-Aug-19,W - littoral,0,0,9,0,0,0,0,0,0,0,0,0,y
1,1,H1P,4-Aug-19,E - SH,0,0,0,0,0,0,1,0,0,0,0,0,y
1,1,H1P,4-Aug-19,N - SH,2,1,0,3,0,0,2,0,0,0,0,0,y
1,1,H1P,4-Aug-19,S - SH,0,0,0,0,0,1,0,0,0,0,0,0,y
1,1,H1P,5-Sep-19,S 4m,0,2,7,0,0,0,0,0,0,0,0,0,y
0,3,H3A,1-Aug-19,N -shore,0,73,48,2,0,0,2,1,2,4,4,3,y
0,2,H2A,21-Jul-21,N - silt/cobble,1,0,0,0,0,1,0,0,0,0,0,0,n
1,2,H2P,18-Jun-21,N-Cobble,0,0,0,0,0,1,0,0,1,1,0,0,n
1,1,H1P,22-Jul-21,N - sand,0,28,0,0,0,1,0,0,0,0,0,0,n
0,1,H1A,5-Jul-21,E - boulder/sand,0,10,11,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Jul-21,N #1 (matches w CO's),0,20,0,0,0,0,2,0,0,6,0,0,n
0,1,H1A,5-Jul-21,N #2 (no substrate),0,15,0,0,0,0,0,0,0,3,0,0,n
0,1,H1A,5-Jul-21,S-boulder,2,0,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,5-Jul-21,S-S,7,0,6,1,0,0,0,0,0,1,0,0,n
0,1,H1A,5-Jul-21,W-boulder,0,4,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,E - B/C,0,3,0,0,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,E - B/T,0,9,0,1,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,N - boulder/cobble,0,2,35,14,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,N - sand,0,0,123,0,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,S - boulder,1,18,7,28,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,S - boulder/sand,0,4,18,0,0,0,0,0,0,0,0,0,n
0,1,H1A,22-Jul-21,W - boulder,0,133,30,4,0,0,0,0,0,0,2,0,n
0,1,H1A,22-Jul-21,W - silt,0,36,0,1,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Jul-21,E - B/T,0,16,29,0,0,0,0,0,1,0,0,0,n
1,1,H1P,5-Jul-21,E - cobble/sand,0,14,22,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Jul-21,N - CS,0,10,0,1,0,0,1,0,0,1,0,0,n
1,1,H1P,5-Jul-21,N-Sand,0,12,13,0,0,0,0,0,0,7,0,0,n
1,1,H1P,5-Jul-21,S - cobble,0,0,2,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Jul-21,S - silt,0,0,2,0,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Jul-21,W - B/T,0,11,0,2,0,0,0,0,0,0,0,0,n
1,1,H1P,5-Jul-21,W - silt,0,37,17,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,E - cobble,0,2,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,E - sand,0,0,0,4,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,N - cobble,0,3,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,S - C/S,0,1,2,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,S - Cobble/boulder,0,14,0,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,W - boulder,0,9,24,0,0,0,0,0,0,0,0,0,n
1,1,H1P,22-Jul-21,W - cobble/boulder,0,5,6,0,0,0,0,0,0,0,0,0,n
0,2,H2A,18-Jun-21,E-Cobble,0,0,5,0,0,0,0,0,0,0,0,1,n
0,2,H2A,18-Jun-21,N-Sand,1,0,2,0,0,0,0,0,0,0,0,3,n
0,2,H2A,18-Jun-21,S-Sand,3,0,0,3,0,0,2,0,0,0,0,0,n
0,2,H2A,18-Jun-21,W-Cobble,0,6,0,2,0,0,0,0,0,0,0,5,n
0,2,H2A,18-Jun-21,W-sand,1,0,1,0,0,0,0,0,1,1,0,1,n
0,2,H2A,4-Jul-21,E - cobble/boulder,0,1,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,E-sand/boulder,0,0,1,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,N - boulder/sand,0,2,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,S - cobble,0,1,0,0,0,0,0,0,0,0,1,0,n
0,2,H2A,4-Jul-21,S-boulder,0,2,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,W - sand/boulder,0,0,2,0,0,0,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,W-sand/cobble,0,0,2,0,0,0,0,0,0,0,0,0,n
0,2,H2A,21-Jul-21,E - B/T,0,2,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,21-Jul-21,E - cobble/sand,0,27,7,0,0,0,0,0,0,0,0,0,n
0,2,H2A,21-Jul-21,N - silt/boulder,0,2,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,21-Jul-21,S - cobble/boulder,0,2,0,0,0,0,0,0,0,0,1,0,n
0,2,H2A,21-Jul-21,S - silt/boulder,0,1,0,0,0,0,0,0,0,0,0,0,n
0,2,H2A,21-Jul-21,W - silt/boulder,1,0,6,0,0,0,0,0,0,0,0,0,n
1,2,H2P,18-Jun-21,E-boulder,1,0,2,0,0,0,0,0,0,0,0,0,n
1,2,H2P,18-Jun-21,N-sand,0,2,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,18-Jun-21,S-boulder/cobble,0,1,0,0,0,0,1,0,0,0,0,0,n
1,2,H2P,18-Jun-21,W-boulder,0,1,2,0,0,0,0,0,0,0,0,0,n
1,2,H2P,18-Jun-21,W-cobble,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,E - C70 T30,0,3,1,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,E - T70 C30,0,0,8,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,N - silt 2,0,4,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,N-Silt 1,0,0,7,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,S - C50 G50,0,1,0,0,0,0,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,S-cobble,0,4,0,8,0,0,2,0,0,0,0,0,n
1,2,H2P,4-Jul-21,W-sand/cobble,0,0,4,0,0,0,0,0,0,0,0,0,n
