fish,block,lake,sample_date,trap,dip_tot,hemip_tot,cole_tot,trichop,ephem,total,data_flag
1,1,H1P,5-Sep-19,N 1m,4,0,0,0,0,4,n
1,1,H1P,5-Sep-19,N 2m,6,0,0,0,0,6,n
1,1,H1P,5-Sep-19,N 4m,6,0,0,0,0,6,n
1,1,H1P,5-Sep-19,N shoreline,5,0,0,0,0,5,n
1,1,H1P,5-Sep-19,S 0m shoreline,12,0,0,0,0,12,n
1,1,H1P,5-Sep-19,S 1m,28,0,0,0,0,28,n
1,1,H1P,4-Aug-19,W - SH,0,3,1,0,0,4,y
1,3,H3P,1-Aug-19,N - shore,7,0,0,0,0,7,y
1,3,H3P,1-Aug-19,S - shore,1,0,0,0,0,1,y
1,2,H2P,29-Aug-19,W - littoral,9,0,0,0,0,9,y
1,1,H1P,4-Aug-19,E - SH,1,0,0,0,0,1,y
1,1,H1P,4-Aug-19,N - SH,8,0,0,0,0,8,y
1,1,H1P,4-Aug-19,S - SH,1,0,0,0,0,1,y
1,1,H1P,5-Sep-19,S 4m,9,0,0,0,0,9,y
0,3,H3A,1-Aug-19,N -shore,126,4,2,4,3,139,y
0,2,H2A,21-Jul-21,N - silt/cobble,2,0,0,0,0,2,n
1,2,H2P,18-Jun-21,N-Cobble,1,1,1,0,0,3,n
1,1,H1P,22-Jul-21,N - sand,29,0,0,0,0,29,n
0,1,H1A,5-Jul-21,E - boulder/sand,21,0,0,0,0,21,n
0,1,H1A,5-Jul-21,N #1 (matches w CO's),22,6,0,0,0,28,n
0,1,H1A,5-Jul-21,N #2 (no substrate),15,3,0,0,0,18,n
0,1,H1A,5-Jul-21,S-boulder,2,0,0,0,0,2,n
0,1,H1A,5-Jul-21,S-S,14,1,0,0,0,15,n
0,1,H1A,5-Jul-21,W-boulder,4,0,0,0,0,4,n
0,1,H1A,22-Jul-21,E - B/C,3,0,0,0,0,3,n
0,1,H1A,22-Jul-21,E - B/T,10,0,0,0,0,10,n
0,1,H1A,22-Jul-21,N - boulder/cobble,51,0,0,0,0,51,n
0,1,H1A,22-Jul-21,N - sand,123,0,0,0,0,123,n
0,1,H1A,22-Jul-21,S - boulder,54,0,0,0,0,54,n
0,1,H1A,22-Jul-21,S - boulder/sand,22,0,0,0,0,22,n
0,1,H1A,22-Jul-21,W - boulder,167,0,0,2,0,169,n
0,1,H1A,22-Jul-21,W - silt,37,0,0,0,0,37,n
1,1,H1P,5-Jul-21,E - B/T,45,0,1,0,0,46,n
1,1,H1P,5-Jul-21,E - cobble/sand,36,0,0,0,0,36,n
1,1,H1P,5-Jul-21,N - CS,12,1,0,0,0,13,n
1,1,H1P,5-Jul-21,N-Sand,25,7,0,0,0,32,n
1,1,H1P,5-Jul-21,S - cobble,2,0,0,0,0,2,n
1,1,H1P,5-Jul-21,S - silt,2,0,0,0,0,2,n
1,1,H1P,5-Jul-21,W - B/T,13,0,0,0,0,13,n
1,1,H1P,5-Jul-21,W - silt,54,0,0,0,0,54,n
1,1,H1P,22-Jul-21,E - cobble,2,0,0,0,0,2,n
1,1,H1P,22-Jul-21,E - sand,4,0,0,0,0,4,n
1,1,H1P,22-Jul-21,N - cobble,3,0,0,0,0,3,n
1,1,H1P,22-Jul-21,S - C/S,3,0,0,0,0,3,n
1,1,H1P,22-Jul-21,S - Cobble/boulder,14,0,0,0,0,14,n
1,1,H1P,22-Jul-21,W - boulder,33,0,0,0,0,33,n
1,1,H1P,22-Jul-21,W - cobble/boulder,11,0,0,0,0,11,n
0,2,H2A,18-Jun-21,E-Cobble,5,0,0,0,1,6,n
0,2,H2A,18-Jun-21,N-Sand,3,0,0,0,3,6,n
0,2,H2A,18-Jun-21,S-Sand,8,0,0,0,0,8,n
0,2,H2A,18-Jun-21,W-Cobble,8,0,0,0,5,13,n
0,2,H2A,18-Jun-21,W-sand,2,1,1,0,1,5,n
0,2,H2A,4-Jul-21,E - cobble/boulder,1,0,0,0,0,1,n
0,2,H2A,4-Jul-21,E-sand/boulder,1,0,0,0,0,1,n
0,2,H2A,4-Jul-21,N - boulder/sand,2,0,0,0,0,2,n
0,2,H2A,4-Jul-21,S - cobble,1,0,0,1,0,2,n
0,2,H2A,4-Jul-21,S-boulder,2,0,0,0,0,2,n
0,2,H2A,4-Jul-21,W - sand/boulder,2,0,0,0,0,2,n
0,2,H2A,4-Jul-21,W-sand/cobble,2,0,0,0,0,2,n
0,2,H2A,21-Jul-21,E - B/T,2,0,0,0,0,2,n
0,2,H2A,21-Jul-21,E - cobble/sand,34,0,0,0,0,34,n
0,2,H2A,21-Jul-21,N - silt/boulder,2,0,0,0,0,2,n
0,2,H2A,21-Jul-21,S - cobble/boulder,2,0,0,1,0,3,n
0,2,H2A,21-Jul-21,S - silt/boulder,1,0,0,0,0,1,n
0,2,H2A,21-Jul-21,W - silt/boulder,7,0,0,0,0,7,n
1,2,H2P,18-Jun-21,E-boulder,3,0,0,0,0,3,n
1,2,H2P,18-Jun-21,N-sand,2,0,0,0,0,2,n
1,2,H2P,18-Jun-21,S-boulder/cobble,2,0,0,0,0,2,n
1,2,H2P,18-Jun-21,W-boulder,3,0,0,0,0,3,n
1,2,H2P,18-Jun-21,W-cobble,1,0,0,0,0,1,n
1,2,H2P,4-Jul-21,E - C70 T30,4,0,0,0,0,4,n
1,2,H2P,4-Jul-21,E - T70 C30,8,0,0,0,0,8,n
1,2,H2P,4-Jul-21,N - silt 2,4,0,0,0,0,4,n
1,2,H2P,4-Jul-21,N-Silt 1,7,0,0,0,0,7,n
1,2,H2P,4-Jul-21,S - C50 G50,1,0,0,0,0,1,n
1,2,H2P,4-Jul-21,S-cobble,14,0,0,0,0,14,n
1,2,H2P,4-Jul-21,W-sand/cobble,4,0,0,0,0,4,n
1,2,H2P,21-Jul-21,E - boulder,10,0,0,0,0,10,n
1,2,H2P,21-Jul-21,E - cobble,1,0,0,0,0,1,n
1,2,H2P,21-Jul-21,N - sand,1,0,0,0,0,1,n
1,2,H2P,21-Jul-21,S - boulder,1,0,0,0,0,1,n
1,2,H2P,21-Jul-21,S - boulder/silt,1,0,0,0,0,1,n
0,3,H3A,19-Jun-21,E-Sand/Cobble,11,1,0,0,1,13,n
0,3,H3A,19-Jun-21,N-Boulder,8,0,0,0,1,9,n
0,3,H3A,19-Jun-21,N-C/G,0,6,0,0,0,6,n
0,3,H3A,19-Jun-21,S-Cobble/Gravel,2,0,0,0,3,5,n
0,3,H3A,19-Jun-21,S-Sand,3,0,0,0,2,5,n
0,3,H3A,19-Jun-21,W-boulder,4,0,0,0,0,4,n
0,3,H3A,19-Jun-21,W-S,1,0,0,0,1,2,n
0,3,H3A,3-Jul-21,E - S/C,1,0,1,0,0,2,n
0,3,H3A,3-Jul-21,N - cobble,2,0,0,0,0,2,n
0,3,H3A,3-Jul-21,S - B/T,1,0,0,1,1,3,n
0,3,H3A,3-Jul-21,S - sand,2,0,0,0,0,2,n
0,3,H3A,3-Jul-21,W - B/C,2,0,0,0,0,2,n
0,3,H3A,19-Jul-21,E - silt/cobble,3,0,0,0,0,3,n
0,3,H3A,19-Jul-21,E - TB,1,0,0,0,0,1,n
0,3,H3A,19-Jul-21,N - cobble,1,0,0,1,0,2,n
0,3,H3A,19-Jul-21,S - boulder/cobble,2,0,0,0,0,2,n
0,3,H3A,19-Jul-21,W - boulder/cobble,2,0,0,0,0,2,n
1,3,H3P,19-Jun-21,N-boulder + cobble,11,0,1,0,0,12,n
1,3,H3P,19-Jun-21,N-cobble/sand,5,0,4,0,0,9,n
1,3,H3P,19-Jun-21,W-cobble,9,0,2,0,0,11,n
1,3,H3P,19-Jun-21,W-Cobble/Sand,12,0,0,0,0,12,n
1,3,H3P,3-Jul-21,E - gravel,1,0,0,0,0,1,n
1,3,H3P,3-Jul-21,E - S60 G40,3,0,0,0,0,3,n
1,3,H3P,3-Jul-21,N - cobble,5,0,0,2,0,7,n
1,3,H3P,3-Jul-21,N - sand,4,0,0,0,0,4,n
1,3,H3P,3-Jul-21,W - cobble,4,0,0,0,0,4,n
1,3,H3P,3-Jul-21,W - sand,1,0,0,0,0,1,n
1,3,H3P,19-Jul-21,E - sand/gravel,1,0,0,0,0,1,n
1,3,H3P,19-Jul-21,S - cobble,1,0,0,0,0,1,n
0,2,H2A,18-Jun-21,N-Sand/Boulder,1,0,1,0,2,4,n
0,3,H3A,3-Jul-21,N - B/C,3,0,0,0,0,3,n
0,3,H3A,3-Jul-21,E - cobble,1,0,0,0,0,1,n
0,2,H2A,18-Jun-21,E-S/G,1,0,0,0,1,2,n
0,2,H2A,18-Jun-21,S-Boulder,0,0,0,0,3,3,n
0,3,H3A,19-Jun-21,E-boulder,0,0,0,0,1,1,n
0,3,H3A,3-Jul-21,W - sand,0,0,0,0,1,1,n
1,3,H3P,19-Jun-21,S-Sand,0,0,0,0,0,0,n
0,1,H1A,5-Jul-21,W - CT,1,0,0,0,0,1,n
0,1,H1A,5-Jul-21,E,0,0,0,0,0,0,n
0,2,H2A,4-Jul-21,N - sand,0,0,0,0,0,0,n
1,2,H2P,4-Jul-21,W - silt,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,S - G80 S20,0,0,0,0,0,0,n
1,3,H3P,3-Jul-21,S - S50 G50,0,0,0,0,0,0,n
